Time,Location,Magnitude,Depth,URL
2024-04-24 19:40:07.440,"5 km SSE of Funaishikawa, Japan",5.1,54.976,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mtg4
2024-04-24 15:22:10.132,"Bonin Islands, Japan region",5.3,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mtex
2024-04-24 13:53:32.652,"172 km NW of Fangale’ounga, Tonga",5.4,231.76,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mten
2024-04-24 13:27:58.273,"Kermadec Islands, New Zealand",5.2,50.038,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mtef
2024-04-24 09:23:53.688,southeast of the Loyalty Islands,5.4,8.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mtc7
2024-04-24 09:20:42.573,"77 km SSW of Boca Chica, Panama",5.4,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mtc6
2024-04-23 23:40:05.052,"136 km SSE of Lajes das Flores, Portugal",5.2,17.609,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt7i
2024-04-23 21:05:39.445,northern Mid-Atlantic Ridge,5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt6v
2024-04-23 20:55:11.681,"75 km WSW of Basco, Philippines",5.3,22.369,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt6s
2024-04-23 20:00:10.673,"176 km NW of Sola, Vanuatu",5.0,56.231,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt6i
2024-04-23 15:59:13.265,"75 km NNE of Lae, Papua New Guinea",5.0,89.417,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt5f
2024-04-23 10:20:59.665,"17 km S of Hualien City, Taiwan",5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt40
2024-04-23 08:11:02.519,"10 km S of Hualien City, Taiwan",5.0,16.257,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt3i
2024-04-23 08:04:05.246,"22 km SSE of Hualien City, Taiwan",5.8,12.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt3f
2024-04-23 05:31:38.398,"22 km SSE of Hualien City, Taiwan",5.4,8.991,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt22
2024-04-23 05:24:31.124,"31 km S of Hualien City, Taiwan",5.1,8.497,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt21
2024-04-23 05:19:35.721,"26 km S of Hualien City, Taiwan",5.3,9.426,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt1x
2024-04-23 05:04:21.907,"35 km S of Hualien City, Taiwan",5.4,5.83,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt1q
2024-04-23 04:49:57.856,"35 km S of Hualien City, Taiwan",5.5,17.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt1n
2024-04-23 04:03:06.819,"25 km SSE of Hualien City, Taiwan",5.2,8.839,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt1g
2024-04-23 03:19:53.318,"21 km SSE of Hualien City, Taiwan",5.0,8.683,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt18
2024-04-23 02:32:48.439,"13 km SSW of Hualien City, Taiwan",6.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt0s
2024-04-23 02:26:52.852,"29 km S of Hualien City, Taiwan",6.1,9.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mt0r
2024-04-22 22:20:09.372,"28 km S of Hualien City, Taiwan",5.0,8.222,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mdv0
2024-04-22 22:11:22.980,"27 km S of Hualien City, Taiwan",5.8,8.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mduw
2024-04-22 21:13:40.535,"36 km S of Hualien City, Taiwan",5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mdup
2024-04-22 20:22:49.933,"178 km NNE of Colonia, Micronesia",5.4,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mduf
